Unnamed: 0,Unnamed: 1,Unnamed: 2
,Provincia,PJP
,Buenos Aires,63.66083445
,CABA,94.66374269
,Catamarca,91.3926499
,Chaco,100
,Chubut,83.88235294
,Córdoba,80.68535826
,Corrientes,89.80499487
,Entre Ríos,55.65293602
,Formosa,100
,Jujuy,89.86486486
,La Pampa,100
,La Rioja,100
,Mendoza,100
,Misiones,83.53271304
,Neuquén,100
,Río Negro,89.8989899
,Salta,92.10526316
,San Juan,55.55555556
,San Luis,100
,Santa Cruz,47.61904762
,Santa Fe,73.16722396
,Santiago del Estero,100
,TdF,27.73109244
,Tucumán,85.45454545
