Provincia,Mujeres,Varones,Ratio
Buenos Aires,33.3,66.7,49.925037481259366
Catamarca,34.2,65.8,51.975683890577514
Chaco,30.1,69.9,43.061516452074386
Chubut,35.2,64.8,54.320987654320994
Ciudad Autónoma de Buenos Aires,34.4,65.6,52.4390243902439
Corrientes,34.9,65.1,53.60983102918587
Córdoba,31.4,68.6,45.77259475218659
Entre Ríos,28.9,71.1,40.646976090014064
Formosa,36.8,63.2,58.22784810126581
Jujuy,34.9,65.1,53.60983102918587
La Pampa,31.1,68.9,45.13788098693759
La Rioja,31.1,68.9,45.13788098693759
Mendoza,32.7,67.3,48.58841010401189
Misiones,31.5,68.5,45.98540145985402
Neuquén,37.8,62.2,60.771704180064305
Rio Negro,34.4,65.6,52.4390243902439
Salta,35.5,64.5,55.03875968992248
San Juan,36.1,63.9,56.4945226917058
San Luis,39.3,60.7,64.74464579901152
Santa Cruz,37.0,63.0,58.730158730158735
Santa Fe,32.4,67.6,47.928994082840234
Santiago del Estero,36.1,63.9,56.4945226917058
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",32.3,67.7,47.71048744460856
Tucumán,34.4,65.6,52.4390243902439
