Provincia,Mujeres,Varones,Bancas totales,Paridad 50%,Mujeres estandarizado,Varones estandarizado,Ratio
Buenos Aires,1027,1175,2202,1101.0,93.2788374205268,106.72116257947322,87.40425531914894
Catamarca,39,64,103,51.0,76.47058823529412,123.07692307692308,62.13235294117647
Chaco,161,202,363,181.0,88.95027624309392,110.98901098901099,80.14331819922323
Chubut,86,88,174,87.0,98.85057471264368,101.14942528735634,97.7272727272727
Ciudad Autónoma de Buenos Aires,45,45,90,45.0,100.0,100.0,100.0
Corrientes,171,238,409,204.0,83.82352941176471,116.09756097560975,72.2009391992091
Córdoba,811,893,1704,852.0,95.18779342723005,104.81220657276995,90.81746920492722
Entre Ríos,337,362,699,349.0,96.56160458452722,103.42857142857143,93.36066741597935
Formosa,46,89,135,67.0,68.65671641791045,130.88235294117646,52.45681703840349
Jujuy ,35,95,130,65.0,53.84615384615385,146.15384615384613,36.8421052631579
La Pampa,123,171,294,147.0,83.6734693877551,116.3265306122449,71.9298245614035
La Rioja,47,89,136,68.0,69.11764705882352,130.88235294117646,52.80898876404494
Mendoza,92,102,194,97.0,94.84536082474226,105.15463917525774,90.19607843137253
Misiones,172,267,439,219.0,78.53881278538812,121.36363636363636,64.71362851230482
Neuquén,117,144,261,130.0,90.0,109.92366412213741,81.875
Río Negro,88,113,201,100.0,88.0,111.88118811881189,78.65486725663716
Salta,126,217,343,171.0,73.68421052631578,126.16279069767442,58.404074702886234
San Juan ,48,83,131,65.0,73.84615384615385,125.75757575757575,58.72103799814644
San Luis,58,79,137,68.0,85.29411764705883,114.4927536231884,74.49739389426657
Santa Cruz,25,53,78,39.0,64.1025641025641,135.8974358974359,47.16981132075471
Santa Fe,103,194,297,148.0,69.5945945945946,130.2013422818792,53.451518528838115
Santiago del Estero,78,96,174,87.0,89.65517241379311,110.34482758620689,81.25000000000001
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",6,15,21,10.0,60.0,136.36363636363635,44.00000000000001
Tucumán,50,125,175,87.0,57.47126436781609,142.04545454545453,40.459770114942536
