Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Provincia,m_intendentas,v_intendentes,total_municipios,paridad_intendentxs,m_estandarizado,v_estandarizado
,Buenos Aires,6,129,135,67,8.95522388,189.705882
,CABA,2,13,15,7,28.5714286,162.5
,Catamarca,3,17,20,10,30,170
,Chaco,13,57,70,35,37.1428571,162.857143
,Chubut,3,19,30,15,20,126.666667
,Córdoba,32,199,260,130,24.6153846,153.076923
,Corrientes,13,59,69,34,38.2352941,168.571429
,Entre Ríos,9,74,83,41,21.9512195,176.190476
,Formosa,1,26,27,13,7.69230769,185.714286
,Jujuy,3,19,22,11,27.2727273,172.727273
,La Pampa,10,47,57,28,35.7142857,162.068966
,La Rioja,4,14,18,9,44.4444444,155.555556
,Mendoza,1,16,17,8,12.5,177.777778
,Misiones,7,69,76,38,18.4210526,181.578947
,Neuquén,5,31,36,18,27.7777778,172.222222
,Río Negro,9,29,38,19,47.3684211,152.631579
,Salta,4,56,60,30,13.3333333,186.666667
,San Juan,1,18,19,9,11.1111111,180
,San Luis,3,18,20,10,30,180
,Santa Cruz,0,15,15,7,0,187.5
,Santa Fe,6,35,41,20,30,166.666667
,Santiago del Estero,3,19,22,11,27.2727273,172.727273
,TdF,0,3,3,1,0,150
,Tucumán,3,16,19,9,33.3333333,160
